name,winning_perc_before_ko,winning_perc_after_ko
Kevin Aguilar,0.5,0.0
Kevin Casey,0.0,0.16666666666666666
Kevin Croom,0.0,0.0
Kevin Holland,0.5882352941176471,1.0
Kevin Lee,0.6666666666666666,0.5384615384615384
Kevin Natividad,0.0,0.0
Khadis Ibragimov,0.0,0.0
Khalid Taha,0.16666666666666666,0.0
Khalil Rountree Jr.,0.42857142857142855,0.7142857142857143
Khama Worthy,0.6666666666666666,0.0
Kris Moutinho,0.0,0.0
Krzysztof Jotko,0.6666666666666666,0.625
Kurt Holobaugh,0.0,0.3333333333333333
Kwan Ho Kwak,0.0,0.0
Kyle Daukaus,0.3333333333333333,0.0
Kyle Kingsbury,0.0,0.0
Kyle Nelson,0.0,0.3333333333333333
Larissa Pacheco,0.0,0.0
Lauren Murphy,0.5833333333333334,0.5
Leah Letson,0.5,0.0
Leonardo Mafra,0.0,0.3333333333333333
Leonardo Santos,0.7777777777777778,0.0
Leslie Smith,0.3333333333333333,0.75
Liana Jojua,0.0,0.3333333333333333
Liang Na,0.0,0.0
Lina Lansberg,0.0,0.4
Livinha Souza,0.6,0.0
Loik Radzhabov,0.5,0.0
Lorenz Larkin,0.25,0.6666666666666666
Louis Cosce,0.0,0.0
Louis Smolka,0.5,0.0
Luan Chagas,0.25,0.0
Luan Lacerda,0.0,0.0
Luana Carolina,0.6,0.5
Lucas Martins,0.0,0.6666666666666666
Luigi Vendramini,0.0,0.3333333333333333
Luis Henrique,0.0,0.4
Luis Ramos,0.0,0.0
Luiz Dutra,0.0,0.0
Lukasz Sajewski,0.0,0.0
Luke Rockhold,0.0,0.6
Luke Sanders,0.3333333333333333,0.4
Luke Zachrich,0.0,0.5
Lyoto Machida,0.5555555555555556,0.6666666666666666
Mac Danzig,0.3333333333333333,0.0
Macy Chiasson,0.6666666666666666,0.0
Magnus Cedenblad,0.6666666666666666,0.0
Maheshate,0.3333333333333333,0.0
Maki Pitolo,0.16666666666666666,0.0
Makwan Amirkhani,0.7142857142857143,0.2857142857142857
Malcolm Gordon,0.0,0.5
Manuel Rodriguez,0.0,0.0
Manvel Gamburyan,0.5714285714285714,0.0
Mara Romero Borella,0.5,0.0
Marc-Andre Barriault,0.2857142857142857,0.75
Marcelo Golm,0.25,0.0
Marcelo Guimaraes,0.5,0.5
Marcelo Rojo,0.0,0.0
Marcin Bandel,0.0,0.0
Marcin Held,0.0,1.0
Marcin Prachnio,0.0,0.42857142857142855
Marcin Tybura,0.5,0.6666666666666666
Marco Beltran,0.6,0.0
Marco Polo Reyes,0.75,0.25
Marcos Rogerio de Lima,0.5882352941176471,0.0
Marcos Vinicius,0.5,0.0
Marcus Brimage,0.6666666666666666,0.25
Marcus LeVesseur,0.3333333333333333,0.0
Marina Rodriguez,0.6,0.0
Mario Bautista,0.5,1.0
Marion Reneau,0.38461538461538464,0.0
Mariya Agapova,0.5,0.3333333333333333
Mark De La Rosa,0.3333333333333333,0.0
Mark Eddiva,0.5,0.0
Mark Hunt,0.6666666666666666,0.3333333333333333
Mark Munoz,0.0,0.4
Mark Striegl,0.0,0.0
Markus Perez,0.3333333333333333,0.0
Marlon Moraes,0.6666666666666666,0.2
Martin Bravo,0.5,0.0
Martin Day,0.0,0.0
Martin Kampmann,0.6666666666666666,0.0
Martin Sano,0.0,0.0
Martin Svensson,0.0,0.0
Matheus Nicolau,0.75,0.8
Mats Nilsson,0.0,0.0
Matt Brown,0.6666666666666666,0.5
Matt Dwyer,0.0,0.3333333333333333
Matt Frevola,0.0,0.625
Matt Hobar,0.0,0.5
Matt Mitrione,0.0,0.5714285714285714
Matt Schnell,0.0,0.5454545454545454
Matt Van Buren,0.0,0.0
Matt Wiman,0.5,0.25
Matthew Lopez,0.5,0.0
Matthew Semelsberger,0.5555555555555556,0.0
Maurice Greene,0.75,0.25
Mauricio Rua,0.4,0.45454545454545453
Max Griffin,0.0,0.5
Max Rohskopf,0.0,0.0
Melvin Guillard,0.3333333333333333,0.25
Merab Dvalishvili,0.0,1.0
Michael Bisping,0.3333333333333333,0.6363636363636364
Michael Chandler,0.5,0.3333333333333333
Michael Chiesa,0.6666666666666666,0.5833333333333334
Michael Johnson,0.5714285714285714,0.36363636363636365
Michael McBride,0.0,0.0
Michael McDonald,0.5,0.0
Michael Trizano,0.5,1.0
Micheal Gillmore,0.0,0.0
Michel Quinones,0.0,0.0
Mickey Gall,0.6666666666666666,0.4
Miesha Tate,0.0,0.5454545454545454
Miguel Baeza,0.6,0.0
Miguel Torres,0.0,0.0
Mike Breeden,0.0,0.0
Mike Brown,0.5,0.0
Mike Jackson,0.25,0.0
Mike Perry,0.5,0.3333333333333333
Mike Pyle,0.8,0.2857142857142857
Mike Rio,0.25,0.0
Mike Rodriguez,0.25,0.25
Mike Russow,0.5,0.0
Mike Santiago,0.0,0.0
Mike Swick,0.5,0.0
Mike de la Torre,0.25,0.3333333333333333
Milana Dudieva,0.5,0.0
Miles Johns,0.5,0.75
Mirsad Bektic,0.8,0.4
Misha Cirkunov,0.8,0.25
Mitch Clarke,0.3333333333333333,0.0
Modestas Bukauskas,0.5,0.5
Montserrat Conejo Ruiz,0.5,0.0
Mounir Lazzez,0.5,0.5
Muslim Salikhov,0.7142857142857143,0.5
Myles Jury,0.7272727272727273,0.0
Nad Narimani,0.6666666666666666,0.0
Nadia Kassem,0.3333333333333333,0.0
Nandor Guelmino,0.0,0.0
Naoyuki Kotani,0.0,0.0
Nasrat Haqparast,0.6,0.6
Nate Diaz,0.3333333333333333,0.5555555555555556
Nate Landwehr,0.0,0.6666666666666666
Nate Marquardt,0.0,0.3
Nathaniel Wood,0.75,0.8
Neil Magny,0.7333333333333333,0.625
Nicholas Musoke,0.5,0.0
Nick Catone,0.0,0.5
